날짜,trend_art_auction,trend_art_auction_company,trend_art_rental
2016-01-01,0.03422,0.40991,0.00456
2016-01-02,0.03346,0.58711,0.00608
2016-01-03,0.04791,0.50574,0.00608
2016-01-04,0.0654,1.46627,0.01216
2016-01-05,0.06236,1.44573,0.01216
2016-01-06,0.05932,1.35903,0.0076
2016-01-07,0.03802,1.32405,0.01292
2016-01-08,0.05171,1.50201,0.00684
2016-01-09,0.04563,0.75442,0
2016-01-10,0.04639,0.56049,0.01064
2016-01-11,0.06236,1.65259,0.0038
2016-01-12,0.06236,1.64271,0.00532
2016-01-13,0.05399,1.58795,0
2016-01-14,0.04563,1.37044,0.01292
2016-01-15,0.04106,2.07087,0.01064
2016-01-16,0.05095,0.85177,0.01292
2016-01-17,0.05247,0.79473,0.00608
2016-01-18,0.09658,2.9987,0.0038
2016-01-19,0.05171,3.29454,0.02053
2016-01-20,0.08289,2.52566,0.01292
2016-01-21,0.073,2.21081,0.02661
2016-01-22,0.06616,2.03285,0.00988
2016-01-23,0.05855,0.82667,0.00836
2016-01-24,0.06008,0.81831,0.00456
2016-01-25,0.05855,2.04654,0.01444
2016-01-26,0.06464,2.12487,0.04639
2016-01-27,0.05247,2.41006,0.01292
2016-01-28,0.06312,1.76971,0.02129
2016-01-29,0.05703,1.61989,0.00456
2016-01-30,0.03726,0.7529,0.00456
2016-01-31,0.06768,0.63959,0.00684
2016-02-01,0.08593,1.62673,0.0076
2016-02-02,0.06616,2.46482,0.01901
2016-02-03,0.0365,1.85337,0.01901
2016-02-04,0.04715,1.67921,0.02053
2016-02-05,0.06996,1.15141,0.00608
2016-02-06,0.03878,0.41752,0
2016-02-07,0.04943,0.36352,0
2016-02-08,0.04791,0.32473,0.01368
2016-02-09,0.04943,0.42056,0.00684
2016-02-10,0.05247,0.52703,0.01444
2016-02-11,0.05171,1.62521,0.01673
2016-02-12,0.05855,2.00775,0.01292
2016-02-13,0.03878,0.66621,0.00912
2016-02-14,0.03726,0.6221,0.00456
2016-02-15,0.05323,1.64194,0.00608
2016-02-16,0.05627,1.57198,0.01292
2016-02-17,0.05475,1.48908,0.01064
2016-02-18,0.06388,1.57654,0.01216
2016-02-19,0.06996,1.60468,0.01216
2016-02-20,0.05551,0.65252,0.01292
2016-02-21,0.06008,0.55365,0
2016-02-22,0.06844,1.38641,0.00456
2016-02-23,0.05932,1.44725,0.02205
2016-02-24,0.04715,1.42292,0.02205
2016-02-25,0.06388,1.65031,0.00912
2016-02-26,0.05095,1.50429,0.01521
2016-02-27,0.04563,0.76964,0.00836
2016-02-28,0.05247,0.68294,0.00912
2016-02-29,0.04715,1.73929,0.02966
2016-03-01,0.05323,0.81298,0.00684
2016-03-02,0.07148,1.94539,0.01673
2016-03-03,0.0616,1.62521,0.00684
2016-03-04,0.05247,1.53091,0.00532
2016-03-05,0.03878,0.79473,0.13841
2016-03-06,0.04791,0.70575,0.17872
2016-03-07,0.06084,1.53091,0.05399
2016-03-08,0.05932,1.61609,0.04106
2016-03-09,0.07148,2.20777,0.0616
2016-03-10,0.06692,1.81762,0.02129
2016-03-11,0.03802,1.47615,0.02813
2016-03-12,0.03118,0.64415,0.01597
2016-03-13,0.05627,0.59167,0.0114
2016-03-14,0.05855,1.57578,0.01825
2016-03-15,0.04867,1.41227,0.00988
2016-03-16,0.05627,2.15833,0.01749
2016-03-17,0.05855,1.77275,0.01064
2016-03-18,0.04182,1.46398,0.01673
2016-03-19,0.03194,0.61981,0.0114
2016-03-20,0.04334,0.5392,0.0038
2016-03-21,0.04867,1.36892,0.01292
2016-03-22,0.06996,1.32025,0.03118
2016-03-23,0.073,1.31873,0.01597
2016-03-24,0.06464,1.56665,0.00988
2016-03-25,0.06388,1.5522,0.00456
2016-03-26,0.04487,0.86622,0.00608
2016-03-27,0.04487,0.64415,0.00988
2016-03-28,0.05171,1.56513,0.03346
2016-03-29,0.05551,1.59936,0.02205
2016-03-30,0.04487,2.56521,0.00608
2016-03-31,0.04258,2.00243,0.01368
2016-04-01,0.04639,1.53775,0.0038
2016-04-02,0.03118,0.651,0.01216
2016-04-03,0.03118,0.64415,0.00836
2016-04-04,0.03422,2.49828,0.01673
2016-04-05,0.06388,3.01163,0.01368
2016-04-06,0.05019,1.68682,0.01292
2016-04-07,0.03422,2.0762,0.05551
2016-04-08,0.02737,1.52711,0.02281
2016-04-09,0.01749,0.51867,0.00684
2016-04-10,0.02509,0.55897,0.01064
2016-04-11,0.04258,1.48528,0.01064
2016-04-12,0.0365,1.50429,0.01825
2016-04-13,0.03574,0.61221,0.00684
2016-04-14,0.02205,1.5119,0.01368
2016-04-15,0.02737,1.46627,0.01521
2016-04-16,0.02813,0.69815,0.01216
2016-04-17,0.03954,0.65023,0.00988
2016-04-18,0.0403,1.5986,0.01368
2016-04-19,0.03118,1.78568,0.01597
2016-04-20,0.02966,1.60012,0.01977
2016-04-21,0.0441,1.46398,0.02205
2016-04-22,0.05779,1.62978,0.00988
2016-04-23,0.02737,0.69358,0.01216
2016-04-24,0.02053,0.6624,0.01064
2016-04-25,0.06084,1.65259,0.01521
2016-04-26,0.04487,1.62521,0.0076
2016-04-27,0.04182,1.91573,0.01749
2016-04-28,0.02661,1.60392,0.02433
2016-04-29,0.04639,1.24572,0.02205
2016-04-30,0.02585,0.5468,0.01064
2016-05-01,0.02129,0.52627,0.00456
2016-05-02,0.02281,1.31721,0.01749
2016-05-03,0.05171,1.53775,0.01444
2016-05-04,0.0403,1.47919,0.00456
2016-05-05,0.00912,0.64947,0.00456
2016-05-06,0.04182,0.71564,0.00456
2016-05-07,0.02053,0.68142,0.00532
2016-05-08,0.01825,0.67533,0.0038
2016-05-09,0.05399,1.7834,0.00912
2016-05-10,0.04563,1.78948,0.00836
2016-05-11,0.05171,1.5522,0.01901
2016-05-12,0.02661,1.60544,0.01368
2016-05-13,0.02966,1.43356,0.01064
2016-05-14,0.03118,0.77344,0
2016-05-15,0.02889,0.66392,0.00532
2016-05-16,0.04106,1.5233,0.01673
2016-05-17,0.04334,1.53471,0.00684
2016-05-18,0.03498,1.52102,0.01444
2016-05-19,0.03422,1.38869,0.01368
2016-05-20,0.02737,1.483,0
2016-05-21,0.03878,0.70347,0.0076
2016-05-22,0.02205,0.70347,0.0114
2016-05-23,0.03802,1.59479,0.02357
2016-05-24,0.03498,2.18419,0.01521
2016-05-25,0.03574,1.67845,0.02129
2016-05-26,0.04487,1.58719,0.01521
2016-05-27,0.17796,1.52178,0.01825
2016-05-28,0.06084,0.73921,0.00608
2016-05-29,0.06844,1.75222,0.01673
2016-05-30,0.05855,2.47623,0.01216
2016-05-31,0.06464,1.64499,0.00836
2016-06-01,0.05551,1.39706,0.01444
2016-06-02,0.06464,1.43128,0
2016-06-03,0.073,1.3134,0.01749
2016-06-04,0.05399,0.62514,0.00684
2016-06-05,0.04182,0.48368,0.0114
2016-06-06,0.06692,0.71868,0.00608
2016-06-07,0.05932,2.28838,0.00836
2016-06-08,0.04791,1.59936,0.0038
2016-06-09,0.06768,2.13248,0.01977
2016-06-10,0.04867,1.98494,0.01064
2016-06-11,0.03118,0.73998,0.00836
2016-06-12,0.04258,0.83428,0.01521
2016-06-13,0.0441,1.70735,0.02053
2016-06-14,0.04943,1.58186,0.01673
2016-06-15,0.04639,1.73016,0.00608
2016-06-16,0.04867,1.96364,0.01673
2016-06-17,0.02661,2.00167,0.01064
2016-06-18,0.03878,0.86242,0.00456
2016-06-19,0.02205,0.66316,0.0114
2016-06-20,0.04182,1.85337,0.02585
2016-06-21,0.03954,1.50505,0.01749
2016-06-22,0.03194,1.53015,0.01064
2016-06-23,0.03878,1.49212,0.01216
2016-06-24,0.03422,1.89063,0.0038
2016-06-25,0.02661,0.58787,0.01444
2016-06-26,0.02737,0.62057,0.00684
2016-06-27,0.02889,1.8161,0.02205
2016-06-28,0.04791,2.79945,0.01368
2016-06-29,0.06692,2.86789,0.0076
2016-06-30,0.04639,1.80774,0.01216
2016-07-01,0.03878,1.41151,0.02433
2016-07-02,0.02433,0.58179,0.02813
2016-07-03,0.02433,0.51486,0.04182
2016-07-04,0.04258,1.51114,0.01673
2016-07-05,0.04182,1.53471,0.01444
2016-07-06,0.02433,1.23507,0.02281
2016-07-07,0.02737,1.27918,0.0114
2016-07-08,0.03042,1.02821,0.02205
2016-07-09,0.02281,0.49585,0.01749
2016-07-10,0.01825,0.49357,0.01825
2016-07-11,0.02889,1.55829,0.02281
2016-07-12,0.04334,1.69974,0.02053
2016-07-13,0.02813,1.40619,0.01825
2016-07-14,0.03042,1.26549,0.02129
2016-07-15,0.02281,1.1248,0.02129
2016-07-16,0.02357,0.51106,0.01064
2016-07-17,0.02129,0.48901,0.01977
2016-07-18,0.02129,1.27538,0.00912
2016-07-19,0.02205,1.49593,0.02205
2016-07-20,0.0365,1.19933,0.0114
2016-07-21,0.02357,1.39098,0.01749
2016-07-22,0.02281,1.18107,0.01216
2016-07-23,0.02585,0.56354,0.01597
2016-07-24,0.02661,0.62894,0.01368
2016-07-25,0.02889,1.15978,0.02281
2016-07-26,0.02889,1.24268,0.02357
2016-07-27,0.02281,1.26853,0.02129
2016-07-28,0.02281,1.52939,0.01216
2016-07-29,0.01749,1.17803,0.01064
2016-07-30,0.00684,0.55973,0.00532
2016-07-31,0.02966,0.45782,0.00912
2016-08-01,0.03118,1.24268,0.01444
2016-08-02,0.02661,1.3461,0.01825
2016-08-03,0.03498,1.05863,0.01597
2016-08-04,0.02433,1.08829,0.01368
2016-08-05,0.02129,0.92326,0.01444
2016-08-06,0.02737,0.41904,0.01216
2016-08-07,0.02129,0.3582,0.0114
2016-08-08,0.26237,0.94303,0.07453
2016-08-09,0.0441,1.00463,0.05247
2016-08-10,0.03118,1.01224,0.07224
2016-08-11,0.0327,1.20389,0.03574
2016-08-12,0.02737,1.36132,0.03346
2016-08-13,0.02129,0.47227,0.02357
2016-08-14,0.02433,0.39242,0.00988
2016-08-15,0.02813,0.45098,0.01064
2016-08-16,0.02433,1.26245,0.0981
2016-08-17,0.02737,1.38033,0.06388
2016-08-18,0.02661,1.31949,0.05932
2016-08-19,0.02661,1.10959,0.04867
2016-08-20,0.01521,0.44718,0.03194
2016-08-21,0.01977,0.40307,0.02129
2016-08-22,0.02053,1.26853,0.03346
2016-08-23,0.02357,1.49745,0.04563
2016-08-24,0.02737,1.19248,0.03878
2016-08-25,0.02585,1.35979,0.03878
2016-08-26,0.03802,1.13925,0.02357
2016-08-27,0.03574,0.5468,0.01825
2016-08-28,0.01673,0.47151,0.02661
2016-08-29,0.03422,1.29743,0.02737
2016-08-30,0.02966,1.61685,0.03422
2016-08-31,0.03118,1.82143,0.03878
2016-09-01,0.03422,1.46703,0.01749
2016-09-02,0.02966,1.41303,0.01749
2016-09-03,0.02889,0.57494,0.01444
2016-09-04,0.0327,0.55289,0.03422
2016-09-05,0.0441,1.46551,0.02661
2016-09-06,0.03422,1.59403,0.0327
2016-09-07,0.03498,1.57122,0.02433
2016-09-08,0.04943,1.98189,0.1308
2016-09-09,0.02661,1.50733,0.03802
2016-09-10,0.02129,0.60765,0.01292
2016-09-11,0.02053,0.55061,0.02205
2016-09-12,0.03118,1.5195,0.01749
2016-09-13,0.02585,1.36816,0.02433
2016-09-14,0.01977,0.54528,0.01749
2016-09-15,0.01064,0.44566,0.00988
2016-09-16,0.02053,0.50878,0.01597
2016-09-17,0.01597,0.61221,0.01521
2016-09-18,0.03042,0.6259,0.02357
2016-09-19,0.03802,1.68834,0.01977
2016-09-20,0.05171,1.64271,0.03194
2016-09-21,0.04791,1.51114,0.01901
2016-09-22,0.03802,1.48832,0.0365
2016-09-23,0.03422,1.40314,0.01825
2016-09-24,0.02205,0.67229,0.01673
2016-09-25,0.04258,0.59624,0.01521
2016-09-26,0.05019,1.41683,0.02889
2016-09-27,0.04258,1.95756,0.03118
2016-09-28,0.07909,2.25492,0.03422
2016-09-29,0.07453,2.06631,0.03422
2016-09-30,0.05779,1.81914,0.03574
2016-10-01,0.04715,0.64795,0.01749
2016-10-02,0.03802,0.56201,0.01673
2016-10-03,0.0441,0.62286,0.02129
2016-10-04,0.07681,1.73853,0.04943
2016-10-05,0.0616,1.68149,0.0654
2016-10-06,0.04943,1.18792,0.04867
2016-10-07,0.05932,1.17423,0.05323
2016-10-08,0.04182,0.52779,0.02129
2016-10-09,0.03346,0.51943,0.02966
2016-10-10,0.0327,1.14381,0.04715
2016-10-11,0.03574,1.13392,0.02889
2016-10-12,0.01977,1.12784,0.04334
2016-10-13,0.02661,1.23659,0.02661
2016-10-14,0.04487,1.00844,0.02889
2016-10-15,0.04715,0.52703,0.02585
2016-10-16,0.04334,0.543,0.03726
2016-10-17,0.05627,1.23203,0.06236
2016-10-18,0.04639,1.3925,0.07529
2016-10-19,0.03042,1.33698,0.06996
2016-10-20,0.02585,1.28983,0.03954
2016-10-21,0.03118,1.23735,0.04715
2016-10-22,0.01292,0.58483,0.01901
2016-10-23,0.0327,0.62438,0.03118
2016-10-24,0.03346,1.34078,0.05475
2016-10-25,0.02053,1.4328,0.04715
2016-10-26,0.03802,1.3096,0.03118
2016-10-27,0.0327,1.3461,0.02889
2016-10-28,0.03042,1.0746,0.01901
2016-10-29,0.01673,0.53312,0.01064
2016-10-30,0.03346,0.597,0.02205
2016-10-31,0.04182,1.05635,0.02966
2016-11-01,0.03878,1.36588,0.02053
2016-11-02,0.02813,1.21758,0.02813
2016-11-03,0.02737,1.13925,0.03802
2016-11-04,0.01825,1.13468,0.01901
2016-11-05,0.01444,0.50498,0.01521
2016-11-06,0.02053,0.52247,0.02357
2016-11-07,0.03118,1.17195,0.03726
2016-11-08,0.0441,1.36208,0.06312
2016-11-09,0.01749,1.40695,0.04715
2016-11-10,0.02357,1.20161,0.04487
2016-11-11,0.02281,1.13392,0.04106
2016-11-12,0.02205,0.48368,0.02129
2016-11-13,0.03194,0.47075,0.02281
2016-11-14,0.03726,1.20085,0.03042
2016-11-15,0.03802,1.43128,0.0441
2016-11-16,0.05019,1.49364,0.05551
2016-11-17,0.05627,1.28755,0.07376
2016-11-18,0.03802,1.44269,0.05475
2016-11-19,0.05323,0.61145,0.02737
2016-11-20,0.03042,0.51943,0.01521
2016-11-21,0.03194,1.5697,0.03802
2016-11-22,0.05627,1.8777,0.09278
2016-11-23,0.04487,1.51494,0.03118
2016-11-24,0.05475,1.40543,0.04182
2016-11-25,0.0365,1.37805,0.0616
2016-11-26,0.03802,0.724,0.03118
2016-11-27,0.03802,1.53091,0.03194
2016-11-28,0.07757,2.28382,0.04258
2016-11-29,0.04867,1.60544,0.03194
2016-11-30,0.05627,1.65487,0.03042
2016-12-01,0.04943,1.39782,0.02433
2016-12-02,0.03954,1.31568,0.0327
2016-12-03,0.02661,0.73237,0.02585
2016-12-04,0.04791,0.67913,0.02737
2016-12-05,0.05095,1.46627,0.02433
2016-12-06,0.05171,1.50657,0.01825
2016-12-07,0.03346,1.4541,0.02053
2016-12-08,0.0403,1.46779,0.04715
2016-12-09,0.04258,1.26397,0.04258
2016-12-10,0.03042,0.69358,0.02281
2016-12-11,0.04258,0.68978,0.01825
2016-12-12,0.05855,1.7218,0.03878
2016-12-13,0.04487,2.0838,0.03194
2016-12-14,0.0441,2.34846,0.03118
2016-12-15,0.04639,1.73549,0.02813
2016-12-16,0.03422,1.52787,0.03878
2016-12-17,0.02205,0.64491,0.01901
2016-12-18,0.02966,0.55745,0.01597
2016-12-19,0.05703,1.5157,0.03574
2016-12-20,0.03726,1.55601,0.02813
2016-12-21,0.03954,1.37577,0.05019
2016-12-22,0.03878,1.24039,0.04182
2016-12-23,0.03346,1.17727,0.02889
2016-12-24,0.02585,0.53464,0.01292
2016-12-25,0.02433,0.52779,0.02509
2016-12-26,0.05171,1.34839,0.03954
2016-12-27,0.04715,1.54916,0.02585
2016-12-28,0.05932,1.7005,0.02813
2016-12-29,0.07833,1.41227,0.03194
2016-12-30,0.07529,0.79853,0.04258
2016-12-31,0.03954,0.52399,0.02433
2017-01-01,0.02281,0.48292,0.03878
2017-01-02,0.05627,1.32253,0.05095
2017-01-03,0.04563,1.44877,0.0403
2017-01-04,0.0616,1.39326,0.06008
2017-01-05,0.0365,1.28678,0.05171
2017-01-06,0.03574,1.37272,0.03042
2017-01-07,0.03802,0.597,0.04334
2017-01-08,0.05247,0.58863,0.01977
2017-01-09,0.05627,1.48148,0.0616
2017-01-10,0.03346,1.48832,0.06084
2017-01-11,0.0365,1.38793,0.0441
2017-01-12,0.0403,1.19628,0.05323
2017-01-13,0.0365,1.30047,0.0403
2017-01-14,0.01216,0.71716,0.03954
2017-01-15,0.03346,0.71792,0.06692
2017-01-16,0.04943,1.52939,0.07148
2017-01-17,0.03954,1.63586,0.07224
2017-01-18,0.04334,1.4214,0.06388
2017-01-19,0.02661,1.44117,0.05779
2017-01-20,0.03346,1.24572,0.06616
2017-01-21,0.04639,0.70347,0.17948
2017-01-22,0.04715,0.73998,0.2137
2017-01-23,0.05779,1.46931,0.08137
2017-01-24,0.04639,1.96288,0.07909
2017-01-25,0.06464,1.75754,0.04258
2017-01-26,0.04715,1.15141,0.04334
2017-01-27,0.04943,0.55213,0.03878
2017-01-28,0.05019,0.4525,0.05551
2017-01-29,0.03346,0.48748,0.09354
2017-01-30,0.10723,0.94912,0.08289
2017-01-31,0.08821,1.98037,0.08821
2017-02-01,0.07072,1.51114,0.08441
2017-02-02,0.0692,1.35143,0.06008
2017-02-03,0.05095,1.30732,0.0403
2017-02-04,0.04106,0.67533,0.03574
2017-02-05,0.06616,0.75975,0.03498
2017-02-06,0.07376,1.48528,0.05095
2017-02-07,0.05932,1.54992,0.05779
2017-02-08,0.06236,1.37653,0.07909
2017-02-09,0.0692,1.39478,0.05323
2017-02-10,0.05551,1.32481,0.05247
2017-02-11,0.04487,0.67913,0.03346
2017-02-12,0.02509,0.63578,0.03574
2017-02-13,0.05171,1.85869,0.05171
2017-02-14,0.05171,2.14541,0.06388
2017-02-15,0.06768,2.00243,0.04943
2017-02-16,0.0616,1.53699,0.0616
2017-02-17,0.0327,1.38641,0.06236
2017-02-18,0.03118,0.64111,0.0441
2017-02-19,0.04943,0.66316,0.0365
2017-02-20,0.05551,1.92334,0.06768
2017-02-21,0.0692,1.81154,0.08669
2017-02-22,0.05932,2.14008,0.28899
2017-02-23,0.06768,1.86402,0.14906
2017-02-24,0.05551,1.51114,0.073
2017-02-25,0.02433,0.70499,0.04334
2017-02-26,0.04639,0.84112,0.05323
2017-02-27,0.05171,1.70811,0.06084
2017-02-28,0.05475,1.54536,0.1232
2017-03-01,0.05855,0.81451,0.05399
2017-03-02,0.04258,1.61228,0.0981
2017-03-03,0.04182,1.46855,0.10342
2017-03-04,0.03574,0.76964,0.06084
2017-03-05,0.03118,0.70195,0.04106
2017-03-06,0.05323,1.74461,0.05932
2017-03-07,0.07072,2.38649,0.05855
2017-03-08,0.05855,2.01612,0.07529
2017-03-09,0.07757,1.62978,0.08137
2017-03-10,0.01977,1.53775,0.04563
2017-03-11,0.02966,0.67685,0.04258
2017-03-12,0.0365,0.79701,0.04487
2017-03-13,0.05247,2.01079,0.07072
2017-03-14,0.04563,1.7256,0.07681
2017-03-15,0.04106,1.47919,0.10266
2017-03-16,0.03574,1.39706,0.08821
2017-03-17,0.04487,1.25104,0.06616
2017-03-18,0.03498,0.58635,0.06616
2017-03-19,0.02966,0.51106,0.06008
2017-03-20,0.04334,1.39174,0.08061
2017-03-21,0.03422,1.54764,0.08365
2017-03-22,0.04639,1.5408,0.05779
2017-03-23,0.03878,1.44041,0.07148
2017-03-24,0.05095,1.64271,0.05627
2017-03-25,0.02813,0.9301,0.04487
2017-03-26,0.04867,0.78256,0.05551
2017-03-27,0.06312,1.76591,0.0692
2017-03-28,0.11864,1.78416,0.06844
2017-03-29,0.0905,1.57654,0.07376
2017-03-30,0.10647,1.56894,0.03726
2017-03-31,0.12928,1.3347,0.0365
2017-04-01,0.06616,0.778,0.04639
2017-04-02,0.06388,0.73541,0.0403
2017-04-03,0.06464,1.5195,0.04563
2017-04-04,0.08061,1.55601,0.05779
2017-04-05,0.06084,1.55829,0.06996
2017-04-06,0.06388,1.44117,0.05703
2017-04-07,0.05627,1.32025,0.06464
2017-04-08,0.0403,0.57266,0.04639
2017-04-09,0.05019,0.6221,0.04715
2017-04-10,0.04639,1.36436,0.0616
2017-04-11,0.0654,1.60544,0.05475
2017-04-12,0.10647,2.56521,0.0441
2017-04-13,0.12244,2.07468,0.04867
2017-04-14,0.06616,1.41227,0.0403
2017-04-15,0.04639,0.74986,0.03194
2017-04-16,0.06084,0.72553,0.02813
2017-04-17,0.06236,1.50505,0.05932
2017-04-18,0.07529,1.61913,0.03726
2017-04-19,0.073,1.38717,0.03802
2017-04-20,0.05399,1.28298,0.04715
2017-04-21,0.06084,1.34915,0.04791
2017-04-22,0.04715,0.71944,0.03878
2017-04-23,0.04487,0.69891,0.05855
2017-04-24,0.0654,1.41075,0.05171
2017-04-25,0.06388,1.78796,0.05323
2017-04-26,0.05171,2.09065,0.04258
2017-04-27,0.05475,1.55905,0.05171
2017-04-28,0.0365,1.37729,0.04106
2017-04-29,0.03422,0.57723,0.01901
2017-04-30,0.0327,0.52931,0.04487
2017-05-01,0.03574,0.79549,0.03498
2017-05-02,0.02966,1.52178,0.02509
2017-05-03,0.0327,0.70119,0.02966
2017-05-04,0.0327,1.20997,0.03574
2017-05-05,0.02433,0.51562,0.02509
2017-05-06,0.05551,0.52703,0.02281
2017-05-07,0.0365,0.50954,0.02889
2017-05-08,0.04943,1.35143,0.03194
2017-05-09,0.03118,0.79701,0.04182
2017-05-10,0.03878,1.33318,0.04943
2017-05-11,0.0441,1.36208,0.04867
2017-05-12,0.04334,1.36892,0.04258
2017-05-13,0.02889,0.61905,0.02281
2017-05-14,0.03574,0.59548,0.03802
2017-05-15,0.03878,1.4906,0.04867
2017-05-16,0.04334,1.95528,0.05247
2017-05-17,0.0403,1.53395,0.04106
2017-05-18,0.04334,1.50885,0.05475
2017-05-19,0.0441,1.56361,0.07148
2017-05-20,0.03498,0.71412,0.03878
2017-05-21,0.04791,0.61677,0.04334
2017-05-22,0.06996,1.57958,0.06236
2017-05-23,0.04182,1.67997,0.03194
2017-05-24,0.05551,1.47083,0.04639
2017-05-25,0.05475,1.71876,0.05019
2017-05-26,0.05095,1.46398,0.0441
2017-05-27,0.03726,0.76431,0.0403
2017-05-28,0.02966,1.19933,0.04258
2017-05-29,0.04943,2.35911,0.05779
2017-05-30,0.03878,1.79405,0.04563
2017-05-31,0.04791,1.60392,0.05019
2017-06-01,0.04715,1.45638,0.04487
2017-06-02,0.03878,1.41987,0.04715
2017-06-03,0.0327,0.60993,0.03954
2017-06-04,0.03878,0.61297,0.03954
2017-06-05,0.0403,1.42444,0.06464
2017-06-06,0.03346,0.82363,0.04487
2017-06-07,0.04106,1.50429,0.05627
2017-06-08,0.05247,1.3423,0.04182
2017-06-09,0.05247,1.33013,0.04791
2017-06-10,0.01749,0.60156,0.02737
2017-06-11,0.04487,0.62286,0.04258
2017-06-12,0.05703,1.40238,0.05247
2017-06-13,0.05019,1.62826,0.04943
2017-06-14,0.05019,2.34238,0.04791
2017-06-15,0.03498,1.79861,0.04639
2017-06-16,0.0441,1.36816,0.03498
2017-06-17,0.03118,0.52627,0.0403
2017-06-18,0.03498,0.62438,0.04258
2017-06-19,0.05627,1.33089,0.06008
2017-06-20,0.03802,1.55753,0.05247
2017-06-21,0.03802,1.38793,0.04943
2017-06-22,0.03574,1.31568,0.06692
2017-06-23,0.03802,1.12936,0.04639
2017-06-24,0.03194,0.67001,0.05323
2017-06-25,0.02813,0.6335,0.03194
2017-06-26,0.04867,1.39478,0.05247
2017-06-27,0.04563,1.49821,0.05247
2017-06-28,0.04563,1.85337,0.0365
2017-06-29,0.04943,1.57654,0.03422
2017-06-30,0.03726,1.16891,0.03422
2017-07-01,0.0365,0.5643,0.04639
2017-07-02,0.02357,0.53844,0.03878
2017-07-03,0.05019,1.30123,0.04334
2017-07-04,0.03574,1.40314,0.06312
2017-07-05,0.04182,1.4579,0.04943
2017-07-06,0.03726,1.22899,0.05095
2017-07-07,0.03802,1.04418,0.0616
2017-07-08,0.12928,0.54528,0.05475
2017-07-09,0.05475,0.49433,0.07529
2017-07-10,0.06616,1.24344,0.07148
2017-07-11,0.04715,1.30352,0.06084
2017-07-12,0.05095,1.16662,0.05475
2017-07-13,0.04715,1.10806,0.10495
2017-07-14,0.05171,1.11643,0.04258
2017-07-15,0.03878,0.50498,0.05019
2017-07-16,0.04715,0.48977,0.03498
2017-07-17,0.06008,1.21378,0.04943
2017-07-18,0.05551,1.44269,0.05551
2017-07-19,0.04715,1.3963,0.05855
2017-07-20,0.05627,1.26397,0.0403
2017-07-21,0.05095,1.14913,0.05019
2017-07-22,0.04639,0.543,0.05627
2017-07-23,0.03726,0.44642,0.03954
2017-07-24,0.05171,1.23583,0.03118
2017-07-25,0.03802,1.41607,0.04715
2017-07-26,0.04563,1.24496,0.05551
2017-07-27,0.04258,1.19552,0.04639
2017-07-28,0.07909,1.11415,0.03118
2017-07-29,0.04943,0.41752,0.01825
